Class,Variance_RGB,Variance_Gray,MI_Normalized,SSIM_Special,Retention_%
Apple___Apple_scab,2246.11316465708,1802.376327123493,0.1963820430312911,0.9516858310668419,57.40339370490665
Apple___Black_rot,2967.49913759527,2319.234376437729,0.21243031241585,0.9596447846609307,58.60375485383904
Apple___Cedar_apple_rust,2309.4213214115134,2227.156216021627,0.21244870339348196,0.9636212001999045,58.80349517966932
Apple___healthy,1329.425445450677,924.3832506798208,0.23678634023161366,0.9802765042047753,60.853142221819446
Blueberry___healthy,3297.9906495408045,2845.8015181981027,0.2426591206513893,0.9852173871396394,61.39382538955144
Cherry_(including_sour)___Powdery_mildew,1025.8811323558912,649.9964221639093,0.17082438423651983,0.9485506680859276,55.96875261612237
Cherry_(including_sour)___healthy,2752.202994837711,2095.5853820291813,0.24609532675568221,0.9699506169276798,60.8022971841681
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1290.010413611825,959.2229194638785,0.19359948541189556,0.9630074476404683,57.83034665261819
Corn_(maize)___Common_rust_,5445.9997256085435,5643.397577408468,0.2210749195308703,0.9592905320809231,59.01827258058967
Corn_(maize)___Northern_Leaf_Blight,1275.0247943078218,728.5253183988389,0.1746962256703698,0.9525418605304149,56.361904310039236
Corn_(maize)___healthy,1239.834671990325,847.0395049636718,0.2245125491170645,0.9676445022365908,59.60785256768276
Grape___Black_rot,2524.0662000650127,1941.203572369879,0.2183713143310445,0.931018202806862,57.46947585689532
Grape___Esca_(Black_Measles),3349.65742639535,2773.0884828825947,0.2705680509427355,0.9541654902534579,61.236677059809665
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),3114.6608605358956,2609.3829351549502,0.2427902148950864,0.8932387217251084,56.80144683100974
Grape___healthy,2180.3537884875873,1192.8604622518178,0.23301819681595368,0.9431835004163306,58.81008486161421
Orange___Haunglongbing_(Citrus_greening),1128.8729653643807,723.867414481705,0.1935810930821016,0.9528065583775408,57.31938257298212
Peach___Bacterial_spot,1397.7087967196067,738.0430879609194,0.17094705273584251,0.9376639176164657,55.43054851761541
Peach___healthy,2213.763474120034,2100.105859722942,0.2702583654110282,0.9938343903280743,63.20463778695513
"Pepper,_bell___Bacterial_spot",4017.155764236115,3620.135121913394,0.22884649886888972,0.9464728156594665,58.76596572641781
"Pepper,_bell___healthy",3312.6078592172253,2539.28605645895,0.2711803098241112,0.9733652888950871,62.22727993595991
Potato___Early_blight,3518.243661421014,2999.1442559128627,0.23556326233145464,0.9526502011833752,59.41067317574149
Potato___Late_blight,2243.2112002947833,1863.948858085787,0.22159623342648496,0.96737782024634,59.44870268364125
Potato___healthy,2251.8827059616383,1682.097480907105,0.22605691729173621,0.9665775291078499,59.63172231997931
Raspberry___healthy,4146.768545328304,3637.509087688988,0.26453633130207543,0.9447747055943444,60.465551844820986
Soybean___healthy,2223.2942557275915,1665.970348588191,0.2506811055212087,0.9733815010828305,61.20313033020196
Squash___Powdery_mildew,1114.4479758252855,769.5758797244634,0.1749813236597976,0.9680244325033119,57.150287808155475
Strawberry___Leaf_scorch,3733.225115923599,3072.121305871522,0.18657638668152043,0.9561474624493046,57.136192456541245
Strawberry___healthy,2499.0237894291836,1798.853063028073,0.2283349484054055,0.9541319492363801,59.12334488208928
Tomato___Bacterial_spot,1362.452423249578,1116.380477992585,0.2020375938239149,0.9811720056806811,59.1604799752298
Tomato___Early_blight,1307.9963966706352,676.5796076273546,0.19694112615505746,0.9074034509869371,55.217228857099734
Tomato___Late_blight,718.692895718514,491.6034387589898,0.13037622950710137,0.9662283463767558,54.83022879419286
Tomato___Leaf_Mold,931.8937659927695,719.8212276787963,0.19620736859626842,0.9865888684963902,59.13981185463293
Tomato___Septoria_leaf_spot,2295.184198476969,1787.5856340788305,0.24498610416734234,0.9875349990808472,61.62605516240948
Tomato___Spider_mites Two-spotted_spider_mite,2892.8175574936126,2639.8952096467838,0.27124055710137507,0.9833848979074582,62.73127275044166
Tomato___Target_Spot,2355.8915023737486,1939.4691813252866,0.2354330545563624,0.9866219332798822,61.102749391812225
Tomato___Tomato_Yellow_Leaf_Curl_Virus,2434.8093730194705,2179.2773929750547,0.2542696816832787,0.9802353239311685,61.725250280722356
Tomato___Tomato_mosaic_virus,1302.6071901662633,1077.617923721671,0.21476637068993149,0.9842910015131174,59.95286861015244
Tomato___healthy,782.9040258462386,543.356909125112,0.13020510577183023,0.9690680141302535,54.96365599510419
